['723', '792', '359', '784', '796']
['456', '433', '962', '875', '540']
['223', '511', '638', '863', '976']
['895', '397', '706', '74', '718']
['69', '720', '410', '245', '324']
['665', '380', '75', '884', '146']
['617', '175', '0', '166', '612']
['86', '185', '330', '981', '595']
['170', '168', '951', '791', '482']
['144', '496', '958', '421', '200']
['110', '997', '518', '685', '384']
['129', '56', '38', '437', '544']
['794', '375', '149', '690', '215']
['795', '458', '10', '150', '169']
['848', '8', '565', '954', '133']
['516', '602', '352', '661', '634']
['232', '206', '635', '697', '606']
['432', '18', '253', '726', '900']
['774', '489', '671', '142', '762']
['965', '353', '921', '855', '811']
['440', '24', '372', '341', '499']
['932', '914', '77', '88', '864']
['928', '132', '977', '249', '388']
['288', '474', '508', '357', '365']
['62', '124', '903', '546', '275']
['972', '214', '135', '248', '768']
['317', '328', '228', '598', '484']
['676', '396', '753', '227', '510']
['391', '151', '653', '305', '547']
['554', '81', '350', '927', '698']
['66', '311', '85', '197', '95']
['979', '87', '501', '285', '809']
['957', '886', '878', '963', '918']
['948', '592', '559', '204', '322']
['210', '207', '514', '581', '607']
['183', '591', '33', '956', '401']
['533', '959', '892', '600', '236']
['593', '148', '843', '773', '890']
['161', '438', '230', '840', '494']
['799', '58', '363', '413', '414']
['258', '574', '53', '238', '752']
['684', '808', '727', '883', '202']
['78', '853', '13', '683', '251']
['862', '952', '573', '621', '9']
['109', '529', '154', '857', '294']
['642', '398', '537', '679', '103']
['971', '986', '504', '347', '677']
['587', '530', '619', '882', '423']
['506', '608', '740', '654', '336']
['904', '579', '224', '737', '119']
['589', '823', '320', '842', '955']
['70', '658', '485', '916', '578']
['613', '804', '427', '717', '201']
['272', '51', '869', '172', '71']
['756', '470', '604', '998', '121']
['944', '746', '755', '742', '460']
['624', '873', '237', '805', '325']
['745', '801', '588', '759', '524']
['265', '877', '793', '128', '536']
['450', '563', '327', '338', '810']
['513', '441', '471', '217', '704']
['156', '111', '364', '436', '788']
['137', '626', '771', '96', '743']
['989', '203', '775', '394', '286']
['832', '735', '318', '313', '739']
['505', '400', '390', '454', '831']
['115', '127', '789', '48', '483']
['834', '498', '703', '657', '555']
['79', '446', '160', '425', '63']
['240', '896', '712', '894', '970']
['870', '493', '356', '295', '130']
['925', '576', '852', '434', '830']
['741', '205', '376', '140', '905']
['344', '973', '25', '443', '941']
['515', '627', '445', '270', '289']
['122', '424', '416', '702', '281']
['876', '339', '260', '650', '20']
['682', '620', '187', '950', '451']
['319', '605', '839', '231', '218']
['909', '277', '44', '42', '978']
['733', '644', '666', '696', '550']
['779', '765', '370', '345', '984']
['274', '835', '273', '463', '466']
['939', '276', '628', '100', '68']
['714', '891', '164', '999', '113']
['748', '715', '392', '659', '379']
['447', '915', '208', '798', '778']
['22', '420', '80', '381', '39']
['730', '531', '14', '711', '300']
['861', '278', '966', '382', '430']
['194', '631', '73', '216', '431']
['732', '633', '847', '846', '780']
['663', '692', '940', '937', '931']
['30', '307', '885', '841', '373']
['691', '89', '772', '867', '239']
['590', '43', '689', '562', '837']
