['676', '646', '527', '545', '450', '262', '61', '14', '339', '213', '941', '723', '471', '995', '418', '573', '526', '618', '361', '68']
['38', '835', '221', '961', '768', '992', '155', '147', '656', '45', '108', '324', '617', '437', '24', '434', '475', '369', '325', '278']
['706', '532', '931', '44', '123', '943', '528', '217', '510', '792', '331', '907', '547', '950', '915', '377', '856', '847', '623', '553']
['365', '916', '883', '89', '736', '669', '594', '978', '292', '641', '300', '600', '309', '684', '804', '680', '480', '358', '490', '425']
['327', '390', '41', '400', '371', '275', '169', '178', '206', '968', '459', '655', '909', '401', '855', '411', '222', '842', '265', '337']
['719', '240', '866', '705', '219', '23', '294', '724', '665', '722', '794', '98', '367', '424', '814', '952', '393', '516', '383', '518']
['441', '338', '218', '673', '966', '314', '375', '164', '141', '69', '630', '43', '157', '341', '88', '493', '318', '224', '333', '710']
['570', '809', '215', '486', '514', '692', '908', '688', '407', '398', '105', '647', '496', '374', '554', '878', '813', '919', '764', '886']
['181', '559', '83', '102', '637', '298', '534', '920', '174', '220', '238', '629', '582', '793', '451', '454', '305', '439', '233', '15']
['716', '874', '748', '306', '571', '223', '863', '20', '986', '259', '686', '37', '254', '440', '530', '320', '698', '286', '165', '644']
['749', '461', '823', '522', '818', '115', '405', '552', '287', '598', '948', '71', '776', '291', '447', '914', '228', '379', '187', '100']
['167', '257', '681', '279', '208', '244', '921', '928', '280', '509', '179', '500', '816', '199', '170', '482', '895', '711', '381', '63']
['40', '601', '506', '682', '936', '504', '332', '193', '50', '587', '498', '19', '605', '561', '22', '843', '417', '659', '923', '892']
