['496', '217', '924', '911', '432']
['522', '243', '1', '241', '7']
['39', '994', '831', '686', '84']
['843', '212', '745', '560', '111']
['608', '850', '527', '293', '526']
['294', '183', '996', '110', '163']
['634', '201', '583', '228', '680']
['968', '803', '712', '595', '516']
['291', '975', '27', '391', '382']
['717', '940', '366', '170', '386']
['367', '797', '690', '871', '699']
['493', '759', '960', '443', '21']
['917', '508', '240', '406', '36']
['813', '172', '325', '778', '46']
['345', '855', '837', '108', '296']
['773', '231', '524', '234', '710']
['696', '760', '889', '453', '515']
['951', '958', '552', '709', '57']
['31', '953', '930', '627', '5']
['895', '424', '884', '123', '80']
['126', '807', '26', '519', '838']
['305', '817', '667', '192', '414']
['941', '195', '9', '76', '207']
['656', '71', '505', '707', '404']
['301', '286', '742', '285', '750']
['204', '644', '461', '374', '272']
['820', '926', '591', '167', '584']
['729', '769', '774', '226', '116']
['581', '572', '133', '157', '802']
['544', '248', '888', '874', '950']
['616', '34', '816', '624', '890']
['117', '254', '184', '270', '38']
['740', '674', '825', '900', '70']
['426', '549', '504', '550', '781']
['169', '190', '506', '952', '308']
['834', '185', '61', '104', '746']
['469', '423', '762', '507', '312']
['791', '532', '615', '783', '604']
['976', '786', '768', '417', '268']
['647', '162', '955', '927', '323']
['490', '402', '307', '89', '969']
['539', '743', '313', '932', '392']
['97', '828', '513', '44', '182']
['605', '324', '72', '433', '582']
['400', '497', '748', '882', '68']
['877', '687', '923', '747', '95']
['279', '766', '567', '99', '864']
['867', '304', '200', '652', '146']
['448', '869', '988', '714', '977']
['415', '389', '395', '53', '251']
['81', '160', '921', '351', '590']
['695', '920', '52', '446', '585']
['749', '669', '258', '371', '787']
['327', '558', '131', '202', '17']
['435', '342', '764', '575', '218']
['594', '94', '418', '563', '915']
['991', '352', '129', '168', '93']
['460', '40', '452', '198', '263']
['434', '322', '683', '149', '73']
['405', '875', '738', '385', '999']
['727', '945', '568', '264', '316']
['276', '205', '125', '451', '925']
['553', '823', '936', '393', '282']
['472', '483', '459', '518', '56']
['492', '485', '918', '24', '152']
['60', '130', '166', '320', '476']
['580', '990', '259', '872', '87']
['471', '962', '428', '818', '412']
['643', '388', '609', '67', '266']
['706', '979', '466', '645', '799']
['436', '90', '922', '197', '42']
['144', '724', '134', '253', '150']
['394', '691', '501', '621', '419']
['592', '213', '685', '804', '63']
['30', '839', '929', '811', '599']
['547', '278', '13', '610', '626']
['455', '261', '649', '58', '383']
['753', '362', '401', '557', '893']
['164', '919', '830', '0', '298']
['420', '449', '229', '731', '153']
['663', '491', '336', '566', '132']
['247', '339', '206', '107', '863']
['681', '303', '437', '737', '512']
['543', '806', '464', '174', '28']
['353', '127', '257', '62', '429']
['347', '827', '665', '574', '173']
['177', '570', '411', '607', '478']
['440', '832', '842', '239', '237']
['77', '372', '109', '154', '821']
['965', '733', '509', '523', '603']
['331', '299', '230', '998', '980']
