['638', '859', '459', '607', '397', '332', '747', '54', '888', '907']
['290', '811', '940', '566', '984', '852', '955', '554', '513', '701']
['434', '368', '738', '18', '388', '939', '376', '385', '17', '166']
['112', '767', '662', '926', '329', '476', '654', '640', '856', '265']
['176', '828', '642', '125', '255', '721', '111', '246', '706', '28']
['487', '889', '73', '720', '283', '797', '806', '817', '511', '115']
['378', '672', '101', '320', '299', '345', '774', '952', '371', '692']
['203', '801', '119', '833', '132', '989', '245', '585', '846', '174']
['639', '690', '286', '954', '41', '519', '653', '193', '611', '748']
['596', '448', '12', '155', '48', '340', '702', '26', '136', '906']
['501', '327', '758', '466', '316', '725', '497', '201', '684', '965']
