['425', '229', '844', '769', '797', '213', '268', '411', '694', '641']
['489', '773', '823', '788', '63', '896', '300', '88', '597', '279']
['576', '452', '902', '472', '275', '99', '581', '91', '80', '281']
['312', '696', '126', '259', '432', '146', '639', '67', '945', '697']
['515', '518', '853', '979', '507', '43', '671', '522', '932', '539']
['805', '468', '779', '541', '744', '876', '869', '118', '741', '435']
['613', '795', '516', '961', '917', '369', '776', '968', '247', '346']
['317', '941', '658', '334', '464', '448', '78', '619', '652', '875']
['589', '818', '864', '878', '506', '768', '82', '994', '528', '165']
['631', '552', '783', '962', '434', '482', '599', '21', '593', '760']
['128', '828', '438', '437', '60', '407', '999', '6', '469', '755']
['321', '889', '585', '111', '547', '370', '422', '583', '565', '916']
['20', '742', '690', '937', '944', '990', '799', '286', '278', '635']
['782', '253', '69', '0', '96', '420', '550', '740', '260', '713']
['393', '477', '284', '915', '988', '29', '170', '692', '687', '939']
['556', '587', '8', '728', '42', '982', '530', '463', '447', '358']
['621', '484', '959', '521', '486', '353', '618', '637', '388', '918']
['602', '709', '833', '194', '342', '445', '513', '155', '524', '732']
['428', '403', '579', '175', '95', '360', '588', '973', '221', '15']
['923', '827', '159', '767', '874', '850', '829', '367', '750', '725']
['351', '183', '481', '929', '348', '504', '7', '567', '499', '580']
['409', '436', '150', '623', '204', '270', '416', '871', '901', '822']
['682', '718', '130', '751', '877', '856', '257', '780', '649', '558']
['934', '846', '193', '174', '494', '365', '2', '926', '640', '568']
