['548', '802', '598']
['107', '570', '793']
['207', '284', '12']
['256', '874', '697']
['112', '470', '8']
['408', '353', '166']
['659', '947', '633']
['302', '343', '602']
['613', '239', '172']
['440', '429', '936']
['810', '650', '117']
['662', '881', '903']
['993', '218', '879']
['241', '725', '2']
['538', '298', '751']
['110', '108', '40']
['58', '551', '811']
['442', '282', '580']
['457', '443', '567']
['231', '407', '486']
['858', '496', '456']
['87', '661', '47']
['29', '418', '865']
['904', '104', '539']
['255', '958', '720']
['804', '599', '52']
['229', '390', '972']
['753', '515', '593']
['349', '316', '60']
['19', '341', '193']
['21', '909', '933']
['124', '72', '70']
['975', '861', '488']
['458', '619', '414']
['764', '742', '526']
['705', '815', '39']
['379', '895', '211']
['384', '857', '672']
['453', '35', '994']
['257', '893', '636']
['387', '605', '307']
['385', '882', '358']
['627', '393', '91']
['367', '920', '275']
['309', '281', '595']
['276', '190', '513']
['833', '300', '430']
['492', '514', '776']
['269', '96', '698']
['81', '399', '800']
['450', '979', '519']
['512', '318', '148']
['699', '801', '15']
['575', '368', '305']
['678', '314', '721']
['128', '4', '322']
['855', '373', '524']
['880', '679', '737']
['449', '703', '983']
['201', '118', '616']
['243', '208', '632']
['943', '941', '219']
['750', '592', '673']
['85', '757', '686']
['359', '955', '902']
['555', '333', '402']
['576', '404', '44']
['960', '718', '762']
['335', '336', '713']
['689', '476', '209']
['498', '27', '768']
['863', '441', '740']
['116', '139', '735']
['913', '565', '852']
['84', '323', '692']
['569', '794', '968']
['294', '741', '277']
['834', '253', '670']
['169', '996', '329']
['704', '527', '500']
['550', '184', '461']
['225', '516', '784']
['944', '830', '507']
['998', '198', '109']
['509', '395', '426']
['144', '204', '504']
['839', '258', '606']
['196', '283', '454']
['206', '523', '222']
['557', '416', '816']
['564', '136', '320']
['121', '531', '178']
['175', '652', '545']
['501', '779', '375']
['254', '747', '547']
['83', '130', '436']
['940', '574', '749']
['792', '386', '479']
['623', '400', '771']
['843', '439', '825']
['484', '79', '93']
['561', '829', '293']
['271', '455', '734']
['787', '693', '413']
['759', '924', '464']
['304', '147', '182']
['837', '348', '396']
['803', '985', '681']
['371', '505', '791']
['423', '542', '66']
['992', '497', '789']
['149', '706', '216']
['99', '668', '224']
['248', '887', '54']
['546', '381', '695']
['420', '603', '824']
['772', '884', '328']
['568', '988', '848']
['835', '43', '572']
['594', '970', '17']
['398', '16', '911']
['391', '707', '94']
['715', '638', '350']
['22', '346', '24']
['745', '127', '921']
['462', '657', '785']
['560', '726', '646']
['325', '534', '889']
['101', '937', '826']
['786', '812', '999']
['168', '795', '871']
['798', '10', '98']
['591', '714', '959']
['912', '682', '354']
['217', '376', '480']
['601', '427', '483']
['55', '626', '628']
['891', '896', '716']
['268', '337', '584']
['120', '767', '499']
['297', '866', '859']
['671', '965', '711']
['397', '174', '162']
['849', '67', '617']
['796', '161', '482']
['468', '898', '280']
['688', '31', '939']
['135', '615', '712']
['246', '315', '382']
['313', '634', '437']
['666', '537', '491']
['543']
